1.5 131.00 0.17749 -0.605443 -0.133641 -0.291228
1.5 132.00 0.17737 -0.633309 -0.127474 -0.292214
1.5 133.00 0.17740 -0.66009 -0.121421 -0.292165
1.5 134.00 0.17757 -0.685814 -0.11556 -0.291096
1.5 135.00 0.17788 -0.710367 -0.109793 -0.289015
1.5 136.00 0.17833 -0.733696 -0.104189 -0.285987
1.5 137.00 0.17891 -0.755855 -0.0987647 -0.282097
1.5 138.00 0.17960 -0.776893 -0.0934855 -0.277394
1.5 139.00 0.18042 -0.796641 -0.0884048 -0.271866
1.5 140.00 0.18134 -0.815264 -0.0834344 -0.265689
1.5 141.00 0.18236 -0.832694 -0.0786905 -0.258884
1.5 142.00 0.18348 -0.848975 -0.074068 -0.251472
1.5 143.00 0.18469 -0.864151 -0.069576 -0.243543
1.5 144.00 0.18598 -0.878159 -0.0653296 -0.235133
1.5 145.00 0.18735 -0.891166 -0.0611689 -0.226421
1.5 146.00 0.18878 -0.903115 -0.0572624 -0.217343
1.5 147.00 0.19028 -0.914074 -0.0534476 -0.208009
1.5 148.00 0.19182 -0.9242 -0.0498384 -0.198519
1.5 149.00 0.19342 -0.933306 -0.0463241 -0.188864
1.5 150.00 0.19506 -0.941608 -0.0430124 -0.179124
1.5 151.00 0.19672 -0.949166 -0.0398536 -0.169327
1.5 152.00 0.19842 -0.955902 -0.036841 -0.159561
1.5 153.00 0.20013 -0.961975 -0.0339779 -0.149853
1.5 154.00 0.20185 -0.967402 -0.0312113 -0.140203
1.5 155.00 0.20358 -0.972247 -0.0286374 -0.130759
1.5 156.00 0.20531 -0.976475 -0.0262043 -0.121426
1.5 157.00 0.20702 -0.980243 -0.0238624 -0.112308
1.5 158.00 0.20872 -0.983519 -0.0216558 -0.103392
1.5 159.00 0.21040 -0.986312 -0.0195817 -0.0947719
1.5 160.00 0.21204 -0.988823 -0.0176382 -0.086446
1.5 161.00 0.21365 -0.99092 -0.0158203 -0.0783993
1.5 162.00 0.21522 -0.992705 -0.0141251 -0.0706719
1.5 163.00 0.21674 -0.994233 -0.0125035 -0.0633017
1.5 164.00 0.21821 -0.995463 -0.0109986 -0.0562761
1.5 165.00 0.21962 -0.996494 -0.0096075 -0.0496312
1.5 166.00 0.22096 -0.997375 -0.0083273 -0.0433563
1.5 167.00 0.22223 -0.998065 -0.00715475 -0.0374837
1.5 168.00 0.22343 -0.998568 -0.00608692 -0.0320011
1.5 169.00 0.22455 -0.99902 -0.00507682 -0.0269428
1.5 170.00 0.22559 -0.999291 -0.00416685 -0.0223414
1.5 171.00 0.22654 -0.999559 -0.00335482 -0.0180983
1.5 172.00 0.22740 -0.999692 -0.00263852 -0.014336
1.5 173.00 0.22816 -0.999869 -0.00201613 -0.0110011
1.5 174.00 0.22883 -0.999913 -0.00148582 -0.0080846
1.5 175.00 0.22940 -0.999956 -0.00104621 -0.00562337
1.5 176.00 0.22987 -1 -0.000652543 -0.00361074
1.5 177.00 0.23024 -1 -0.000390896 -0.00204135
1.5 178.00 0.23050 -1 -0.000173536 -0.000911063
1.5 179.00 0.23066 -1 -4.33539e-05 -0.000216769
1.5 180.00 0.23072 -1 0 0
2.0 0.00 7.45903 1 0 0
2.0 1.00 7.45425 1 -5.50022e-05 6.97589e-05
2.0 2.00 7.43994 1 -0.000217744 0.000279572
2.0 3.00 7.41614 1 -0.000488125 0.000628359
2.0 4.00 7.38296 0.999999 -0.000868215 0.00111879
2.0 5.00 7.34053 0.999997 -0.00135549 0.00174919
2.0 6.00 7.28902 0.999993 -0.00194951 0.0025216
2.0 7.00 7.22864 0.999989 -0.00265057 0.00343495
2.0 8.00 7.15963 0.99998 -0.00345688 0.00449325
2.0 9.00 7.08226 0.99997 -0.00436866 0.00569592
2.0 10.00 6.99684 0.999954 -0.00538386 0.00704461
2.0 11.00 6.90371 0.999932 -0.00650085 0.00854034
2.0 12.00 6.80322 0.999903 -0.00771987 0.0101834
